## This is a hack 
## all the dates are given as the current year (now 2021) so they will show up as comparison
20211110	1.4	845.46
20211110	2.1	847.56
20211111	1	848.56
20211111	10.25	858.81
20211112	1	859.81
20211112	2.5	862.31
20211113	1	863.31
20211114	3.5	866.81
20211114	2.5	869.31
20211114	0.5	869.81
20211115	1	870.81
20211116	2	872.81
20211117	1	873.81
20211118	1.5	875.31
20211119	2	877.31
20211119	0.75	878.06
20211119	2	880.06
20211121	4	884.06
20211122	5.5	889.56
20211124	7.5	897.06
20211126	1	898.06
20211126	2.5	900.56
20211127	1	901.56
20211128	1	902.56
20211129	1	903.56
20211129	0.9	904.46
20211201	1	905.46
20211201	1	906.46
20211202	6.25	912.71
20211202	3	915.71
20211203	1	916.71
20211203	2.5	919.21
20211204	1	920.21
20211205	1	921.21
20211206	1	922.21
20211206	1.6	923.81
20211207	2	925.81
20211209	2	927.81
20211210	1	928.81
20211210	5	933.81
20211211	1	934.81
20211212	1	935.81
20211213	1	936.81
20211213	2	938.81
20211213	4	942.81
20211215	1	943.81
20211216	3	946.81
20211217	5	951.81
20211217	1	952.81
20211218	1	953.81
20211219	1	954.81
20211219	2	956.81
20211220	1	957.81
20211222	10.75	968.56
20211222	3	971.56
20211223	1.25	972.81
20211223	1	973.81
20211224	7	980.81
20211224	1	981.81
20211225	4	985.81
20211226	11.5	997.31
20211226	3.75	1001.06
20211227	3.75	1004.81
20211228	1	1005.81
